,Province/State,Country/Region,Lat,Long,Date,Confirmed
104,French Guiana,France,3.9339,-53.1258,1/22/20,0
105,French Polynesia,France,-17.6797,149.4068,1/22/20,0
106,Guadeloupe,France,16.265,-61.551,1/22/20,0
107,Martinique,France,14.6415,-61.0242,1/22/20,0
108,Mayotte,France,-12.8275,45.166244,1/22/20,0
109,New Caledonia,France,-20.904305,165.618042,1/22/20,0
110,Reunion,France,-21.1151,55.5364,1/22/20,0
111,Saint Barthelemy,France,17.9,-62.8333,1/22/20,0
112,Saint Pierre and Miquelon,France,46.8852,-56.3159,1/22/20,0
113,St Martin,France,18.0708,-63.0501,1/22/20,0
114,Wallis and Futuna,France,-14.2938,-178.1165,1/22/20,0
115,,France,46.2276,2.2137,1/22/20,0
365,French Guiana,France,3.9339,-53.1258,1/23/20,0
366,French Polynesia,France,-17.6797,149.4068,1/23/20,0
367,Guadeloupe,France,16.265,-61.551,1/23/20,0
368,Martinique,France,14.6415,-61.0242,1/23/20,0
369,Mayotte,France,-12.8275,45.166244,1/23/20,0
370,New Caledonia,France,-20.904305,165.618042,1/23/20,0
371,Reunion,France,-21.1151,55.5364,1/23/20,0
372,Saint Barthelemy,France,17.9,-62.8333,1/23/20,0
373,Saint Pierre and Miquelon,France,46.8852,-56.3159,1/23/20,0
374,St Martin,France,18.0708,-63.0501,1/23/20,0
375,Wallis and Futuna,France,-14.2938,-178.1165,1/23/20,0
376,,France,46.2276,2.2137,1/23/20,0
626,French Guiana,France,3.9339,-53.1258,1/24/20,0
627,French Polynesia,France,-17.6797,149.4068,1/24/20,0
628,Guadeloupe,France,16.265,-61.551,1/24/20,0
629,Martinique,France,14.6415,-61.0242,1/24/20,0
630,Mayotte,France,-12.8275,45.166244,1/24/20,0
631,New Caledonia,France,-20.904305,165.618042,1/24/20,0
632,Reunion,France,-21.1151,55.5364,1/24/20,0
633,Saint Barthelemy,France,17.9,-62.8333,1/24/20,0
634,Saint Pierre and Miquelon,France,46.8852,-56.3159,1/24/20,0
635,St Martin,France,18.0708,-63.0501,1/24/20,0
636,Wallis and Futuna,France,-14.2938,-178.1165,1/24/20,0
637,,France,46.2276,2.2137,1/24/20,0
887,French Guiana,France,3.9339,-53.1258,1/25/20,0
888,French Polynesia,France,-17.6797,149.4068,1/25/20,0
889,Guadeloupe,France,16.265,-61.551,1/25/20,0
890,Martinique,France,14.6415,-61.0242,1/25/20,0
891,Mayotte,France,-12.8275,45.166244,1/25/20,0
892,New Caledonia,France,-20.904305,165.618042,1/25/20,0
893,Reunion,France,-21.1151,55.5364,1/25/20,0
894,Saint Barthelemy,France,17.9,-62.8333,1/25/20,0
895,Saint Pierre and Miquelon,France,46.8852,-56.3159,1/25/20,0
896,St Martin,France,18.0708,-63.0501,1/25/20,0
897,Wallis and Futuna,France,-14.2938,-178.1165,1/25/20,0
898,,France,46.2276,2.2137,1/25/20,0
1148,French Guiana,France,3.9339,-53.1258,1/26/20,0
1149,French Polynesia,France,-17.6797,149.4068,1/26/20,0
1150,Guadeloupe,France,16.265,-61.551,1/26/20,0
1151,Martinique,France,14.6415,-61.0242,1/26/20,0
1152,Mayotte,France,-12.8275,45.166244,1/26/20,0
1153,New Caledonia,France,-20.904305,165.618042,1/26/20,0
1154,Reunion,France,-21.1151,55.5364,1/26/20,0
1155,Saint Barthelemy,France,17.9,-62.8333,1/26/20,0
1156,Saint Pierre and Miquelon,France,46.8852,-56.3159,1/26/20,0
1157,St Martin,France,18.0708,-63.0501,1/26/20,0
1158,Wallis and Futuna,France,-14.2938,-178.1165,1/26/20,0
1159,,France,46.2276,2.2137,1/26/20,0
1409,French Guiana,France,3.9339,-53.1258,1/27/20,0
1410,French Polynesia,France,-17.6797,149.4068,1/27/20,0
1411,Guadeloupe,France,16.265,-61.551,1/27/20,0
1412,Martinique,France,14.6415,-61.0242,1/27/20,0
1413,Mayotte,France,-12.8275,45.166244,1/27/20,0
1414,New Caledonia,France,-20.904305,165.618042,1/27/20,0
1415,Reunion,France,-21.1151,55.5364,1/27/20,0
1416,Saint Barthelemy,France,17.9,-62.8333,1/27/20,0
1417,Saint Pierre and Miquelon,France,46.8852,-56.3159,1/27/20,0
1418,St Martin,France,18.0708,-63.0501,1/27/20,0
1419,Wallis and Futuna,France,-14.2938,-178.1165,1/27/20,0
1420,,France,46.2276,2.2137,1/27/20,0
1670,French Guiana,France,3.9339,-53.1258,1/28/20,0
1671,French Polynesia,France,-17.6797,149.4068,1/28/20,0
1672,Guadeloupe,France,16.265,-61.551,1/28/20,0
1673,Martinique,France,14.6415,-61.0242,1/28/20,0
1674,Mayotte,France,-12.8275,45.166244,1/28/20,0
1675,New Caledonia,France,-20.904305,165.618042,1/28/20,0
1676,Reunion,France,-21.1151,55.5364,1/28/20,0
1677,Saint Barthelemy,France,17.9,-62.8333,1/28/20,0
1678,Saint Pierre and Miquelon,France,46.8852,-56.3159,1/28/20,0
1679,St Martin,France,18.0708,-63.0501,1/28/20,0
1680,Wallis and Futuna,France,-14.2938,-178.1165,1/28/20,0
